204,11.8,5377.4958,-11.0,0.05
205,5.48,0.1984,1.0,0.1
206,9.8,66043.0213,-5.0,0.04
207,6.56,0.4119,-10.0,0.03
208,9.8,0.3519,-8.0,0.03
209,8.6,569.3105,-6.0,0.05
210,7.92,0.1266,-7.0,0.06
211,7.0,459006.5496,0.0,0.06
212,7.88,0.0182,-12.0,0.03
213,6.8,145.4123,-9.0,0.03
214,6.4,20.9885,4.0,0.07
215,6.16,1158.6798,-5.0,0.07
216,10.48,1.3737,-12.0,0.02
217,7.24,359701.4668,4.0,0.06
218,9.96,0.3359,-8.0,0.04
219,9.92,373456.9972,-5.0,0.05
220,12.28,515455.9142,-13.0,0.03
221,7.12,2.4083,2.0,0.07
222,9.68,9.2057,-14.0,0.04
223,7.36,548247.2987,-12.0,0.05
224,7.56,592285.2826,2.0,0.04
225,6.64,169395.9982,-12.0,0.05
226,9.12,901.6233,-5.0,0.03
227,10.24,1081773.7693,-9.0,0.03
228,8.0,5.7234,-9.0,0.04
229,9.72,4.7788,-13.0,0.04
230,6.92,3.2306,-10.0,0.04
231,6.68,128209.3249,1.0,0.04
232,6.2,380.0579,-8.0,0.05
233,10.4,12.1045,-10.0,0.03
234,7.28,359879.0209,-4.0,0.03
235,8.76,131893.4985,-2.0,0.07
236,8.88,36601.962,-5.0,0.04
237,4.96,0.0466,-6.0,0.1
238,7.08,379.8446,4.0,0.07
239,6.64,0.3148,-4.0,0.04
240,8.44,0.098,4.0,0.06
241,6.4,0.5797,-5.0,0.05
242,5.08,0.3709,5.0,0.07
243,5.64,120030.6398,-6.0,0.03
244,7.4,335741.5588,-10.0,0.03
245,7.96,123.9264,-6.0,0.05
246,6.12,72.2712,-3.0,0.05
247,7.2,390.7686,-7.0,0.04
248,9.12,45.7029,-5.0,0.05
249,8.8,356843.7548,-1.0,0.04
250,9.68,0.2164,-8.0,0.04
251,7.52,379.8886,-11.0,0.05
252,10.56,32616.7267,-11.0,0.04
253,11.52,1285.6536,-7.0,0.03
254,6.92,6.5157,-13.0,0.03
255,8.04,0.0862,-3.0,0.04
256,7.4,2805.8662,3.0,0.05
257,9.24,8.9842,-3.0,0.04
258,7.72,901.3682,-7.0,0.02
259,7.64,0.1948,-5.0,0.05
260,6.92,0.8786,-8.0,0.04
261,8.96,36.6908,-10.0,0.03
262,6.8,0.0258,-13.0,0.03
263,8.44,4.946,-10.0,0.06
264,7.56,112939.1944,-7.0,0.07
265,9.84,70687.2351,-10.0,0.03
266,8.56,133050.2704,-6.0,0.05
267,6.72,411430.8687,-12.0,0.03
268,8.44,197841.3012,-12.0,0.04
269,4.8,72.1717,-16.0,0.06
270,9.76,24.2464,-5.0,0.03
271,9.64,3851.1033,-7.0,0.03
272,8.16,727997.863,-10.0,0.05
273,8.28,2572.7247,-4.0,0.04
274,7.12,229837.6808,-7.0,0.07
275,7.0,2.951,-2.0,0.04
276,10.2,133801.6124,-14.0,0.04
277,8.32,4229.7594,-11.0,0.02
278,8.44,1006.2157,-10.0,0.03
279,8.08,2839.1718,-9.0,0.05
280,7.36,0.0356,-15.0,0.06
281,8.32,1228160.9344,-7.0,0.05
282,9.56,2.6918,-11.0,0.05
283,8.44,356831.65,-9.0,0.03
284,8.24,33900.1526,-16.0,0.04
285,10.88,1.2473,-5.0,0.04
286,6.36,2.3806,-17.0,0.05
287,8.72,3.2093,-11.0,0.03
288,8.52,19.7194,-2.0,0.05
289,7.44,7.9336,-4.0,0.05
290,5.64,0.9188,0.0,0.05
291,11.92,881745.9329,-7.0,0.04
292,7.56,68111.7459,-5.0,0.03
293,8.96,832330.9572,-4.0,0.06
294,11.52,478937.1209,-13.0,0.03
295,10.6,180679.0335,-8.0,0.04
